,id,title,subtitle,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,floor,neighborhood_id,rent_price,buy_price,house_type_id,is_new_development,is_renewal_needed,energy_certificate,has_parking,is_exterior,tipo,barrio_pm2,barrio,distr,e_certificate
13545,8197,Piso en venta en Costillares,"Ciudad Lineal, Madrid",140.0,119.0,3,2.0,4,Neighborhood 45: Costillares (4235.69 €/m2) - District 7: Ciudad Lineal,1885,595000,HouseType 1: Pisos,0,0,E,0,1,0.0,4.23569,Costillares,Ciudad Lineal,3
13546,8196,"Piso en venta en calle la Española, 3","Pueblo Nuevo, Madrid",110.0,93.5,3,1.0,3,Neighborhood 39: Pueblo Nuevo (2578.87 €/m2) - District 7: Ciudad Lineal,740,149000,HouseType 1: Pisos,0,0,B,0,1,0.0,2.5788699999999998,Pueblo Nuevo,Ciudad Lineal,6
13547,8195,Piso en venta en calle de Elfo,"Concepción, Madrid",75.0,63.75,3,1.0,3,Neighborhood 38: Concepción (3341.09 €/m2) - District 7: Ciudad Lineal,910,198000,HouseType 1: Pisos,0,0,en trámite,0,0,0.0,3.3410900000000003,Concepción,Ciudad Lineal,0
13548,8194,"Piso en venta en calle Luis Piernas, 2","Ventas, Madrid",86.0,78.0,3,1.0,2,Neighborhood 42: Ventas (2686.93 €/m2) - District 7: Ciudad Lineal,1052,245000,HouseType 1: Pisos,0,0,E,0,1,0.0,2.68693,Ventas,Ciudad Lineal,3
13549,8193,Piso en venta en calle de San Emilio,"Ventas, Madrid",86.0,80.0,3,1.0,3,Neighborhood 42: Ventas (2686.93 €/m2) - District 7: Ciudad Lineal,1038,240000,HouseType 1: Pisos,0,0,en trámite,0,1,0.0,2.68693,Ventas,Ciudad Lineal,0
13550,8192,"Piso en venta en calle de Emilio Ferrari, 20","Pueblo Nuevo, Madrid",100.0,86.0,3,1.0,1,Neighborhood 39: Pueblo Nuevo (2578.87 €/m2) - District 7: Ciudad Lineal,1071,251600,HouseType 1: Pisos,0,1,en trámite,0,1,0.0,2.5788699999999998,Pueblo Nuevo,Ciudad Lineal,0
13551,8191,"Piso en venta en calle Hermanos Gómez, 14","Ventas, Madrid",80.0,70.0,3,1.0,2,Neighborhood 42: Ventas (2686.93 €/m2) - District 7: Ciudad Lineal,833,175000,HouseType 1: Pisos,0,1,en trámite,0,1,0.0,2.68693,Ventas,Ciudad Lineal,0
13552,8190,Piso en venta en calle del Jazmín,"Costillares, Madrid",76.0,64.6,3,1.0,9,Neighborhood 45: Costillares (4235.69 €/m2) - District 7: Ciudad Lineal,907,197000,HouseType 1: Pisos,0,0,en trámite,0,1,0.0,4.23569,Costillares,Ciudad Lineal,0
13553,8189,Piso en venta en calle San Fidel,"Pueblo Nuevo, Madrid",54.0,45.9,3,1.0,2,Neighborhood 39: Pueblo Nuevo (2578.87 €/m2) - District 7: Ciudad Lineal,728,146000,HouseType 1: Pisos,0,1,E,0,1,0.0,2.5788699999999998,Pueblo Nuevo,Ciudad Lineal,3
13554,8188,Piso en venta en calle de Arturo Soria,"Atalaya, Madrid",151.0,128.35,3,2.0,1,Neighborhood 43: Atalaya (None €/m2) - District 7: Ciudad Lineal,2012,650000,HouseType 1: Pisos,0,0,en trámite,1,1,0.0,0.0,Atalaya,Ciudad Lineal,0
13555,8187,Piso en venta en calle del Poeta Blas de Otero,"Ventas, Madrid",80.0,65.0,3,1.0,3,Neighborhood 42: Ventas (2686.93 €/m2) - District 7: Ciudad Lineal,851,180000,HouseType 1: Pisos,0,0,E,0,1,0.0,2.68693,Ventas,Ciudad Lineal,3
13556,8186,Piso en venta en calle de Ezequiel Solana,"Pueblo Nuevo, Madrid",73.0,62.05,3,1.0,2,Neighborhood 39: Pueblo Nuevo (2578.87 €/m2) - District 7: Ciudad Lineal,868,185000,HouseType 1: Pisos,0,0,en trámite,0,1,0.0,2.5788699999999998,Pueblo Nuevo,Ciudad Lineal,0
13557,8185,Piso en venta en calle de San Emilio,"Ventas, Madrid",89.0,80.0,2,1.0,2,Neighborhood 42: Ventas (2686.93 €/m2) - District 7: Ciudad Lineal,1067,250000,HouseType 1: Pisos,0,0,en trámite,0,1,0.0,2.68693,Ventas,Ciudad Lineal,0
13558,8184,"Piso en venta en calle Antonio Calvo, 5","San Pascual, Madrid",122.0,108.0,3,3.0,3,Neighborhood 41: San Pascual (4015.76 €/m2) - District 7: Ciudad Lineal,1038,240000,HouseType 1: Pisos,0,1,no indicado,1,1,0.0,4.01576,San Pascual,Ciudad Lineal,0
13559,8183,Piso en venta en calle de Vital Aza,"Pueblo Nuevo, Madrid",60.0,51.0,3,1.0,3,Neighborhood 39: Pueblo Nuevo (2578.87 €/m2) - District 7: Ciudad Lineal,762,155000,HouseType 1: Pisos,0,0,en trámite,0,1,0.0,2.5788699999999998,Pueblo Nuevo,Ciudad Lineal,0
13560,8182,"Piso en venta en calle Pablo Lafargue, 7","Ventas, Madrid",50.0,42.5,2,1.0,3,Neighborhood 42: Ventas (2686.93 €/m2) - District 7: Ciudad Lineal,682,134000,HouseType 1: Pisos,0,0,en trámite,0,1,0.0,2.68693,Ventas,Ciudad Lineal,0
13561,8181,"Piso en venta en calle de Ezequiel Solana, 12","Pueblo Nuevo, Madrid",112.0,95.2,4,2.0,4,Neighborhood 39: Pueblo Nuevo (2578.87 €/m2) - District 7: Ciudad Lineal,1200,300000,HouseType 1: Pisos,0,0,en trámite,0,1,0.0,2.5788699999999998,Pueblo Nuevo,Ciudad Lineal,0
13562,8180,"Dúplex en venta en Urb. Arturo Soria, San Pascual","Ciudad Lineal, Madrid",170.0,144.5,2,2.0,3,Neighborhood 41: San Pascual (4015.76 €/m2) - District 7: Ciudad Lineal,2035,660000,HouseType 4: Dúplex,0,0,en trámite,1,1,1.0,4.01576,San Pascual,Ciudad Lineal,0
13563,8179,Piso en venta en pedro antonio de alarcon,"Pueblo Nuevo, Madrid",60.0,51.0,2,1.0,0,Neighborhood 39: Pueblo Nuevo (2578.87 €/m2) - District 7: Ciudad Lineal,795,164000,HouseType 1: Pisos,0,0,D,0,1,0.0,2.5788699999999998,Pueblo Nuevo,Ciudad Lineal,4
13564,8178,Piso en venta en calle de Santa Genoveva,"Ventas, Madrid",70.0,59.5,3,1.0,1,Neighborhood 42: Ventas (2686.93 €/m2) - District 7: Ciudad Lineal,910,198000,HouseType 1: Pisos,0,0,no indicado,0,1,0.0,2.68693,Ventas,Ciudad Lineal,0
13565,8177,Piso en venta en Germán Pérez Carrasco,"Quintana, Madrid",77.0,65.45,2,2.0,1,Neighborhood 40: Quintana (2900.58 €/m2) - District 7: Ciudad Lineal,1161,285000,HouseType 1: Pisos,0,0,F,0,1,0.0,2.9005799999999997,Quintana,Ciudad Lineal,2
